Uva - Valor da produção (2024),,
localidade,valor,unidade
Ceará,4.421,Mil Reais
Pernambuco,4.310.441,Mil Reais
Bahia,945.225,Mil Reais
Goiás,16.525,Mil Reais
Acre,-,Mil Reais
Espírito Santo,22.307,Mil Reais
São Paulo,875.746,Mil Reais
Paraná,287.373,Mil Reais
Rondônia,77,Mil Reais
Roraima,-,Mil Reais
Tocantins,15,Mil Reais
Rio Grande do Sul,1.598.405,Mil Reais
Sergipe,-,Mil Reais
Minas Gerais,130.572,Mil Reais
Pará,-,Mil Reais
Maranhão,-,Mil Reais
Mato Grosso do Sul,1.070,Mil Reais
Distrito Federal,18.240,Mil Reais
Amazonas,-,Mil Reais
Amapá,-,Mil Reais
Santa Catarina,113.695,Mil Reais
Rio Grande do Norte,900,Mil Reais
Alagoas,-,Mil Reais
Rio de Janeiro,1.413,Mil Reais
Piauí,360,Mil Reais
Paraíba,7.820,Mil Reais
Mato Grosso,638,Mil Reais
Fonte: PAM
,,
